GEO ID,County,State Abbreviation,State,Year,County PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55+ PrEP-to-Need Ratio
8017,Cheyenne County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8019,Clear Creek County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8021,Conejos County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8023,Costilla County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8025,Crowley County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8027,Custer County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8029,Delta County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8031,Denver County,CO,Colorado,2018,4.24,4.43,2,3.3,4.18,4.5,4.14,6.83
8033,Dolores County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8035,Douglas County,CO,Colorado,2018,11.36,-1,-1,4.8,-1,-1,-1,-1
8037,Eagle County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8039,Elbert County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8041,El Paso County,CO,Colorado,2018,7.26,8.03,2.6,3.18,7.33,12.2,-1,-1
8043,Fremont County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8045,Garfield County,CO,Colorado,2018,2.8,-1,-1,-1,-1,-1,-1,-1
8047,Gilpin County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8049,Grand County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8051,Gunnison County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8053,Hinsdale County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
